bsopAdtnlFcltCd,cocrPrkgTrcn,dspnPrkgTrcn,fscarPrkgTrcn,gudClssCd,gudClssNm,hdqrCd,hdqrNm,mtnofCd,mtnofNm,pstnoCd,routeCd,routeNm,rprsTelNo,svarAddr,svarCd,svarGsstClssCd,svarGsstClssNm,svarNm,sliced_rest,wifi,satisfaction,electric_car,nursing_room,pharmacy,Braile_block,pet
A00251,0,0,0,1,하행,600000,대구경북본부,610300,고령,711850.0,122,광주대구선,07043040600,대구 달성군 논공읍 88올림픽고속도로 175,447,0,휴게소,논공(광주)휴게소,논공(광주),true,1.0,true,true,false,true,
A00252,101,4,15,0,상행,600000,대구경북본부,610300,고령,711850.0,122,광주대구선,,대구 달성군 논공읍 88올림픽고속도로 176,446,0,휴게소,논공(대구)휴게소,논공(대구),true,1.0,true,true,false,true,
A00250,37,2,20,1,하행,600000,대구경북본부,610300,고령,676811.0,122,광주대구선,0559638411,경남 함양군 수동면 우명하교로 174,444,0,휴게소,산삼골(광주)휴게소,산삼골(광주),false,,false,false,false,false,
A00249,30,2,20,0,상행,600000,대구경북본부,610300,고령,676811.0,122,광주대구선,0559638411,경남 함양군 수동면 산업단지길 209,445,0,휴게소,산삼골(대구)휴게소,산삼골(대구),false,,false,false,false,false,
A00059,52,90,36,1,하행,500000,광주전남본부,510400,남원,590860.0,122,광주대구선,0636367195,전북 남원시 아영면 아곡리 79-1,88,0,휴게소,지리산(광주)휴게소,지리산(광주),true,,true,true,false,false,
A00058,30,51,19,0,상행,500000,광주전남본부,510400,남원,590860.0,122,광주대구선,0636367191,전북 남원시 아영면 아곡리 산83,87,0,휴게소,지리산(대구)휴게소,지리산(대구),true,2.0,true,true,false,true,
000438,0,0,0,0,상행,500000,광주전남본부,510400,남원,590140.0,120,"광주대구선,무안광주선",0630000000,전북 남원시 화정동 88올림픽고속도로 48,438,0,휴게소,남원(대구)간이휴게소,남원(대구)간이,false,,false,false,false,false,
A00223,0,0,0,1,하행,600000,대구경북본부,610300,고령,711850.0,120,"광주대구선,무안광주선",0536119560,대구광역시 달성군 논공읍 삼리리 458-5,81,0,휴게소,논공(광주)휴게소,논공(광주),true,1.0,true,true,false,true,
A00226,0,0,0,0,상행,600000,대구경북본부,610300,고령,711856.0,120,"광주대구선,무안광주선",0536113633,대구 달성군 논공읍 삼리 462-1,399,0,휴게소,논공(대구)휴게소,논공(대구),true,1.0,true,true,false,true,
A00075,13,17,2,1,하행,600000,대구경북본부,610300,고령,676810.0,120,"광주대구선,무안광주선",0559637709,경남 함양군 수동면 죽산리 산98-9,86,0,휴게소,죽산(고서)휴게소,죽산(고서),false,,false,false,false,false,
A00291,0,0,0,0,상행,700000,부산경남본부,710400,진주,52504.0,100,남해선,00000000000,경상남도 사천시 곤양면 맥사리 165-7,540,0,휴게소,곤양(순천)졸음쉼터,곤양(순천)졸음쉼터,false,,false,false,false,false,
A00091,186,7,46,0,상행,700000,부산경남본부,710400,진주,660840.0,100,남해선,0557612820,경남 진주시 문산읍 소문리 968-2,71,0,휴게소,문산(순천)휴게소,문산(순천),true,1.0,true,true,false,true,
A00225,59,3,42,1,하행,500000,광주전남본부,520100,보성,546861.0,100,남해선,07043258808,전남 보성군 겸백면 수남리 385-3,400,0,휴게소,보성녹차(순천)휴게소,보성녹차(순천),true,,true,true,false,false,
A00224,80,3,42,0,상행,500000,광주전남본부,520100,보성,546822.0,100,남해선,07043258804,전남 보성군 미력면 화방리 산 196-7,401,0,휴게소,보성녹차(영암)휴게소,보성녹차(영암),true,,true,true,false,false,
A00097,123,6,45,1,하행,700000,부산경남본부,710400,진주,52508.0,100,남해선,0558543134,경남 사천시 곤양면 묵곡리(서삼로) 619번길,73,0,휴게소,사천(부산)휴게소,사천(부산),true,1.0,true,true,false,true,
A00096,137,6,45,0,상행,700000,부산경남본부,710400,진주,664910.0,100,남해선,0558543547,경남 사천시 곤양면 묵곡리 산171-31,74,0,휴게소,사천(순천)휴게소,사천(순천),true,1.0,true,true,false,true,
A00054,112,140,24,1,하행,500000,광주전남본부,510300,순천,545850.0,100,남해선,0617727986,전남 광양시 진월면 신아리 1192-1,77,0,휴게소,섬진강(부산)휴게소,섬진강(부산),true,1.0,true,true,false,true,
A00053,66,100,30,0,상행,500000,광주전남본부,510300,순천,545850.0,100,남해선,0617727993,전남 광양시 진월면 신아리 1192-1,78,0,휴게소,섬진강(순천)휴게소,섬진강(순천),true,,true,true,false,true,
A00297,0,0,0,1,하행,700000,부산경남본부,710400,진주,660891.0,100,남해선,0510000000,경남 진주시 지수면 금곡리 240-4 남해고속도로,451,0,휴게소,지수졸음쉼터(부산),지수졸음쉼터(부산),false,,false,false,false,false,
A00085,181,233,44,1,하행,700000,부산경남본부,710300,창원,50871.0,100,남해선,0553423236,경남 김해시 진영읍 우동리(하계로96번길)94-4,63,0,휴게소,진영(부산)휴게소,진영(부산),true,,true,true,false,true,
A00084,355,10,68,0,상행,700000,부산경남본부,710300,창원,50871.0,100,남해선,0553423959,경남 김해시 진영읍 우동리(하계로96번길) 68,64,0,휴게소,진영(순천)휴게소,진영(순천),true,,true,true,false,true,
A00185,170,238,61,1,하행,700000,부산경남본부,710400,진주,660310.0,100,남해선,0557593205,경남 진주시 호탄동 382 외 62필지,347,0,휴게소,진주(부산)휴게소,진주(부산),true,,true,true,false,true,true
A00186,156,10,65,1,하행,700000,부산경남본부,710400,진주,637824.0,100,남해선,0555822191,경남 함안군 군북면 유현리 산 993-6,344,0,휴게소,함안(부산)휴게소,함안(부산),true,1.0,true,true,false,true,
A00187,171,7,43,0,상행,700000,부산경남본부,710400,진주,637824.0,100,남해선,0555825470,경남 함안군 군북면 유현리 산 993-1,348,0,휴게소,함안(순천)휴게소,함안(순천),true,2.0,false,true,false,true,
A00300,68,6,32,0,상행,500000,광주전남본부,520100,보성,59309.0,101,남해선(영암순천),0618645007,전남 장흥군 부산면 호계리 산 211-1 외 9필지,575,0,휴게소,장흥정남진휴게소,장흥정남진,true,,false,true,false,false,
000544,0,0,0,0,상행,700000,부산경남본부,710300,창원,51190.0,1020,남해제1지선,00000000000,경상남도 창원시 의창구 동정동 495,544,0,휴게소,창원(부산)졸음쉼터,창원(부산)졸음쉼터,false,,false,false,false,false,
A00308,109,4,17,0,상행,700000,부산경남본부,710300,창원,46722.0,1040,남해제2지선,0519412110,부산 강서구 남해2지선고속도로 19(대저2동),592,0,휴게소,서부산(순천)휴게소,서부산(순천),false,,false,false,false,false,
A00083,60,107,43,0,상행,700000,부산경남본부,710300,창원,621830.0,1040,남해제2지선,0553132610,경남 김해시 장유면 부곡리 53-1,236,0,휴게소,장유(서부산)휴게소,장유(서부산),true,,true,true,false,false,
000461,0,0,0,0,상행,990000,-,210100,인천,314840.0,250,"논산천안선,호남선",00000000000,충남 공주시 이인면 논산천안고속도로 32,461,0,휴게소,이인(천안)휴게소,이인(천안),false,,false,false,false,false,
000460,0,0,0,1,하행,990000,-,210100,인천,314820.0,250,"논산천안선,호남선",00000000000,충남 공주시 정안면 논산천안고속도로 57,460,0,휴게소,정안알밤(논산)휴게소,정안알밤(논산),false,,false,false,false,false,
000459,0,0,0,0,상행,990000,-,210100,인천,314820.0,250,"논산천안선,호남선",00000000000,충남 공주시 정안면 논산천안고속도로 58,459,0,휴게소,정안알밤(천안)휴게소,정안알밤(천안),false,,false,false,false,false,
000462,0,0,0,1,하행,990000,-,210100,인천,314853.0,250,"논산천안선,호남선",00000000000,충남 공주시 탄천면 장선리 151-6,462,0,휴게소,탄천(논산)휴게소,탄천(논산),false,,false,false,false,false,
A00141,196,299,98,0,상행,600000,대구경북본부,610700,영천,770862.0,207,대구포항선,0543380037,경북 영천시 임고면 금대리 99,257,0,휴게소,영천(대구)휴게소,영천(대구),true,,true,true,false,true,
A00140,165,266,95,1,하행,600000,대구경북본부,610700,영천,770862.0,207,대구포항선,0543380062,경북 영천시 임고면 금대리 103,258,0,휴게소,영천(포항)휴게소,영천(포항),true,,true,true,false,true,
A00143,91,8,52,1,하행,600000,대구경북본부,610700,영천,712841.0,207,대구포항선,0538531086,경북 경산시 와촌면 강학리 산71-1 외 14필지,294,0,휴게소,와촌(포항)휴게소,와촌(포항),true,,true,true,false,true,
A00142,93,170,68,0,상행,600000,대구경북본부,610700,영천,770893.0,207,대구포항선,0543375009,경북 영천시 청통면 우천리 산 160-4,293,0,휴게소,청통(대구)휴게소,청통(대구),true,,true,true,false,true,
000569,0,0,0,0,상행,400000,대전충남본부,410500,영동,30027.0,3000,대전남부순환선,0420000000,대전광역시 동구 이사동 산16,569,0,휴게소,산내졸음쉼터,산내졸음쉼터,false,,false,false,false,false,
A00137,44,8,22,1,하행,300000,강원본부,310300,강릉,210810.0,650,동해선,0336448345,강원 강릉시 구정면 제비리 888,267,0,휴게소,구정(삼척)휴게소,구정(삼척),true,,true,true,false,false,
A00136,44,8,22,0,상행,300000,강원본부,310300,강릉,210810.0,650,동해선,0336444760,강원 강릉시 구정면 동해고속도로 346,274,0,휴게소,구정(속초)휴게소,구정(속초),true,,true,true,false,true,
A00025,87,4,12,1,하행,300000,강원본부,310300,강릉,240080.0,650,동해선,0335346631,강원도 동해시 망상동 산5-1,233,0,휴게소,동해(삼척)휴게소,동해(삼척),true,,true,true,false,false,
A00182,36,46,10,1,하행,300000,강원본부,310300,강릉,215841.0,650,동해선,07082407781,강원 양양군 현남면 남애리 산 42-1,339,0,휴게소,양양(동해)휴게소,양양(동해),false,,false,false,false,false,
A00183,36,46,10,0,상행,300000,강원본부,310300,강릉,215841.0,650,동해선,07082407761,강원 양양군 현남면 남애리 산 42-1,338,0,휴게소,양양(속초)휴게소,양양(속초),false,,false,false,false,false,
A00135,107,10,39,0,상행,300000,강원본부,310300,강릉,210831.0,650,동해선,0335341700,강원 강릉시 옥계면 도직리 산2-2,301,0,휴게소,옥계(속초)휴게소,옥계(속초),true,1.0,true,true,false,true,
000481,0,0,0,1,하행,990000,-,210100,인천,619950.0,650,동해선,00000000000,부산 기장군 장안읍 동해고속도로 25,481,0,휴게소,장안(부산)휴게소,장안(부산),false,,false,false,false,false,
000482,0,0,0,0,상행,990000,-,210100,인천,619950.0,650,동해선,00000000000,부산 기장군 장안읍 동해고속도로 26,482,0,휴게소,장안(울산)휴게소,장안(울산),false,,false,false,false,false,
A00155,77,7,53,0,상행,500000,광주전남본부,510500,함평,525822.0,121,무안광주선,0613248840,전남 함평군 엄다면 무안광주고속도로 12,269,0,휴게소,함평나비(광주)휴게소,함평나비(광주),true,,true,true,false,true,
A00156,72,7,53,1,하행,500000,광주전남본부,510500,함평,525822.0,121,무안광주선,0613248858,전남 함평군 엄다면 화양리 1025-3번지,270,0,휴게소,함평나비(무안)휴게소,함평나비(무안),true,,true,true,false,true,
A00273,293,17,46,0,상행,700000,부산경남본부,710100,울산,50807.0,6000,부산외곽순환선,0553122820,경남 김해시 대동면 동남로 400,548,0,휴게소,김해금관가야휴게소,김해금관가야,true,,true,true,false,false,
A00266,0,0,0,0,상행,990000,-,210100,인천,38804.0,3010,상주영천선,0543838448,경상북도 영천시 신녕면 치산효령로 86 5-43,520,0,휴게소,군위영천(영천)휴게소,군위영천(영천),false,,false,false,false,false,
A00265,0,0,0,1,하행,990000,-,210100,인천,39103.0,3010,상주영천선,0544752974,경상북도 구미시 도개면 용산3길 132 122-65,517,0,휴게소,낙동강구미(상주)휴게소,낙동강구미(상주),false,,false,false,false,false,
A00264,0,0,0,0,상행,990000,-,210100,인천,37375.0,3010,상주영천선,0544752975,경상북도 의성군 단밀면 도안로 757-68,516,0,휴게소,낙동강의성(영천)휴게소,낙동강의성(영천),false,,false,false,false,false,
A00267,0,0,0,1,하행,990000,-,210100,인천,38804.0,3010,상주영천선,0543838778,경상북도 영천시 신녕면 치산효령로 98 9-23,521,0,휴게소,삼국유사군위(상주)휴게소,삼국유사군위(상주),false,,false,false,false,false,
A00171,136,184,44,0,상행,400000,대전충남본부,411100,공주,314813.0,300,서산영덕선,0418540050,충남 공주시 의당면 청룡리 65-16,324,0,휴게소,공주(당진)휴게소,공주(당진),true,,true,true,false,true,
A00170,141,190,45,1,하행,400000,대전충남본부,411100,공주,314914.0,300,서산영덕선,0418546060,충남 공주시 장기면 송선리 320-3,318,0,휴게소,공주(대전)휴게소,공주(대전),true,,true,true,false,true,
A00206,38,2,20,0,상행,400000,대전충남본부,410700,당진,343882.0,300,서산영덕선,0413350020,충남 당진군 면천면 자개리 산42-2,382,0,휴게소,면천(당진)휴게소,면천(당진),false,,false,false,false,false,
A00207,26,2,4,1,하행,400000,대전충남본부,410700,당진,343882.0,300,서산영덕선,0413340094,충남 당진군 면천면 자개리 산48-4,381,0,휴게소,면천(대전)휴게소,면천(대전),false,,false,false,false,false,
A00304,104,7,39,1,하행,900000,충북본부,411000,보은,28207.0,300,서산영덕선,0437152820,충북 청주시 상당구 문의면 남계리 654번지,582,0,휴게소,문의청남대(영덕)휴게소,문의청남대(영덕),false,,false,false,false,false,
A00213,0,0,0,1,하행,900000,충북본부,411000,보은,363831.0,300,서산영덕선,00000000000,충북 청원군 문의면 남계리,388,0,휴게소,문의청남대(영덕)휴게소(임시),문의청남대(영덕)(임시),false,,false,false,false,false,
A00303,108,7,40,0,상행,900000,충북본부,411000,보은,28207.0,300,서산영덕선,0432232820,충북 청주시 상당구 문의면 남계리 산59-4번지,581,0,휴게소,문의청남대(청주)휴게소,문의청남대(청주),false,,false,false,false,false,
A00212,0,0,0,0,상행,900000,충북본부,411000,보은,363831.0,300,서산영덕선,0432258226,충북 청원군 문의면 남계리 산59-6,387,0,휴게소,문의청남대(청주)휴게소(임시),문의청남대(청주)(임시),false,,false,false,false,false,
A00211,0,0,0,1,하행,900000,충북본부,411000,보은,742200.0,300,서산영덕선,00000000000,경북 상주시 거동동 산 107-14,386,0,휴게소,상주(영덕)휴게소,상주(영덕),false,,false,false,false,false,
A00210,24,2,50,0,상행,900000,충북본부,411000,보은,742200.0,300,서산영덕선,0545313776,경북 상주시 거동동 산 107-9,385,0,휴게소,상주(청원)휴게소,상주(청원),false,,false,false,false,false,
A00157,135,202,57,0,상행,900000,충북본부,411000,보은,376852.0,300,서산영덕선,0435441466,충북 보은군 마로면 적암리 180외 19필지,279,0,휴게소,속리산(청주)휴게소,속리산(청주),false,,true,true,false,false,
A00208,25,1,16,0,상행,400000,대전충남본부,411100,공주,314883.0,300,서산영덕선,0413350020,충남 공주시 신풍면 평소리 51,379,0,휴게소,신풍(당진)휴게소,신풍(당진),false,,false,false,false,false,
A00209,29,1,16,1,하행,400000,대전충남본부,411100,공주,314883.0,300,서산영덕선,0413340094,충남 공주시 신풍면 영정리 158-2,380,0,휴게소,신풍(대전)휴게소,신풍(대전),false,,false,false,false,false,
A00175,132,8,47,0,상행,400000,대전충남본부,411100,공주,,300,서산영덕선,0413350020,충남 예산군 신양면 서계양리 672-3,316,0,휴게소,예산(당진)휴게소,예산(당진),true,,true,true,false,true,
A00174,143,8,44,1,하행,400000,대전충남본부,411100,공주,340823.0,300,서산영덕선,0413340094,충남 예산군 신양면 서계양리 662-28,314,0,휴게소,예산(대전)휴게소,예산(대전),true,,true,true,false,true,
A00254,48,2,20,1,하행,600000,대구경북본부,610900,청송,769933.0,300,서산영덕선,0548629251,경북 의성군 안계면 새못안길 45-47,496,0,휴게소,의성(영덕)휴게소,의성(영덕),true,,true,true,false,true,
A00253,0,0,0,0,상행,600000,대구경북본부,610900,청송,769933.0,300,서산영덕선,0548629072,경북 의성군 안계면 새못안길 45-49,495,0,휴게소,의성(청주)휴게소,의성(청주),true,,true,true,false,false,
A00259,24,0,6,0,상행,600000,대구경북본부,610900,청송,769842.0,300,서산영덕선,0540000000,경북 의성군 옥산면 신계리 산93-4,499,0,휴게소,점곡(상주)휴게소,점곡(상주),false,,false,false,false,false,
A00260,24,0,8,1,하행,600000,대구경북본부,610900,청송,769831.0,300,서산영덕선,0540000000,경북 의성군 점곡면 윤암리 산4-37,500,0,휴게소,점곡(영덕)휴게소,점곡(영덕),false,,false,false,false,false,
A00256,65,2,11,1,하행,600000,대구경북본부,610900,청송,763823.0,300,서산영덕선,0548739102,경북 청송군 파천면 중평병부길 203-115,504,0,휴게소,청송(영덕)휴게소,청송(영덕),true,,false,true,false,true,
A00255,60,2,11,0,상행,600000,대구경북본부,610900,청송,763823.0,300,서산영덕선,0548735911,경북 청송군 파천면 중평병부길 203-92,503,0,휴게소,청송(청주)휴게소,청송(청주),true,,false,true,false,false,
A00159,177,241,54,1,하행,900000,충북본부,411000,보은,742862.0,300,서산영덕선,0545311982,경북 상주시 화서면 상용리 408,280,0,휴게소,화서(영덕)휴게소,화서(영덕),false,,true,true,false,false,true
000454,0,0,0,0,상행,990000,-,210100,인천,477853.0,600,서울양양선,00000000000,경기 가평군 설악면 미사리 145,454,0,휴게소,가평(서울)휴게소,가평(서울),false,,false,false,false,false,
000455,0,0,0,1,하행,990000,-,210100,인천,477853.0,600,서울양양선,00000000000,경기 가평군 설악면 미사리 149,455,0,휴게소,가평(춘천)휴게소,가평(춘천),false,,false,false,false,false,
A00263,497,14,52,0,상행,300000,강원본부,310900,양양,25102.0,600,서울양양선,0338528605,강원 인제군 상남면 하남리 372번지,513,0,휴게소,내린천휴게소,내린천,true,,true,true,false,false,
A00261,210,10,35,0,상행,300000,강원본부,310700,춘천,35233.0,600,서울양양선,0334369000,대전광역시 서구 대덕대로220번길 46 (둔산동),509,0,휴게소,홍천(서울)휴게소,홍천(서울),true,,true,true,false,true,
A00262,184,7,25,1,하행,300000,강원본부,310700,춘천,35233.0,600,서울양양선,0334363000,대전광역시 서구 대덕대로220번길 46 (둔산동),510,0,휴게소,홍천(양양)휴게소,홍천(양양),true,,true,true,false,true,
A00172,73,3,20,0,상행,400000,대전충남본부,810600,부여,323882.0,1510,서천공주선,0418335400,충남 부여군 내산면 율암리 149-5,320,0,휴게소,부여백제(공주)휴게소,부여백제(공주),true,,true,true,false,true,
A00173,75,3,16,1,하행,400000,대전충남본부,810600,부여,323882.0,1510,서천공주선,0418345600,충남 부여군 내산면 율암리  134,321,0,휴게소,부여백제(서천)휴게소,부여백제(서천),true,,true,true,false,true,
A00205,20,0,20,0,상행,400000,대전충남본부,810600,부여,345861.0,1510,서천공주선,0413350020,충남 청양군 목면 대평리 105-7,384,0,휴게소,청양(공주)휴게소,청양(공주),false,,false,false,false,false,
A00204,20,0,20,1,하행,400000,대전충남본부,810600,부여,345861.0,1510,서천공주선,0413350020,충남 청양군 목면 대평리 105,383,0,휴게소,청양(서천)휴게소,청양(서천),false,,false,false,false,false,
A00123,183,286,96,1,하행,800000,전북본부,810200,부안,585830.0,150,서해안선,0635616313,전북 고창군 신림면 벽송리 557-10,110,0,휴게소,고창고인돌(목포)휴게소,고창고인돌(목포),true,,true,true,false,false,
A00122,180,261,74,0,상행,800000,전북본부,810200,부안,56425.0,150,서해안선,0635616323,전북 고창군 고창읍 신월리(서해안고속도로),112,0,휴게소,고창고인돌(서울)휴게소,고창고인돌(서울),true,,true,true,false,false,
A00119,108,5,36,1,하행,800000,전북본부,810200,부안,573840.0,150,서해안선,0634530402,전라북도 군산시 성산면 산곡리 산1,108,0,휴게소,군산(목포)휴게소,군산(목포),true,,true,true,false,true,
A00118,112,226,106,0,상행,800000,전북본부,810500,보령,573852.0,150,서해안선,0634532818,전북 군산시 나포면 서해안고속도로 3182,106,0,휴게소,군산(서울)휴게소,군산(서울),true,1.0,true,true,false,true,true
A00290,0,0,0,1,하행,400000,대전충남본부,410700,당진,31750.0,150,서해안선,00000000000,충남 당진시 송악읍 서해안고속도로 265,534,0,휴게소,당진(목포)졸음쉼터,당진(목포)졸음쉼터,false,,false,false,false,false,
A00289,0,0,0,0,상행,400000,대전충남본부,410700,당진,31750.0,150,서해안선,00000000000,충남 당진시 송악읍 서해안고속도로 265,533,0,휴게소,당진(서울)졸음쉼터,당진(서울)졸음쉼터,false,,false,false,false,false,
A00203,20,0,10,0,상행,800000,전북본부,810200,부안,585863.0,150,서해안선,,전북 고창군 대산면 산정리286-38,378,0,휴게소,대산상쉼터,대산상쉼터,false,,false,false,false,false,
A00109,136,172,32,1,하행,800000,전북본부,810500,보령,355920.0,150,서해안선,0419316901,충남 보령시 주교면 주교리 933-5,103,0,휴게소,대천(목포)휴게소,대천(목포),true,,true,true,false,true,
A00108,148,201,46,0,상행,800000,전북본부,810500,보령,355920.0,150,서해안선,0419316801,충남 보령시 주교면 주교리 904-34,102,0,휴게소,대천(서울)휴게소,대천(서울),true,,true,true,false,true,
A00278,231,16,147,1,하행,200000,수도권본부,210700,화성,18531.0,150,서해안선,0312961501,경기도 화성시 매송면 서해안고속도로 315,555,0,휴게소,매송(목포)휴게소,매송(목포),true,,true,true,false,true,true
A00277,250,16,130,0,상행,200000,수도권본부,210700,화성,18531.0,150,서해안선,0312951501,경기 화성시 매송면 서해안고속도로 316,554,0,휴게소,매송(서울)휴게소,매송(서울),true,,true,true,false,true,true
A00178,57,72,12,0,상행,200000,수도권본부,210800,시흥,429819.0,150,서해안선,0314110590,경기 시흥시 목감동 125 외9필지,326,0,휴게소,목감(서울)휴게소,목감(서울),false,,false,true,false,true,
A00306,122,4,32,1,하행,800000,전북본부,810200,부안,56320.0,150,서해안선,0637768003,전북 부안군 주산면 서해안고속도로 103,586,0,휴게소,부안고려청자(목포)휴게소,부안고려청자(목포),true,,false,false,false,false,
